PLAYERS	14			PASSING				RUSHING			RECEIVING				MISC			TOTAL
PLAYER, TEAM POS	Player	Team	Position	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	  TAR	  2PC	 FUML	   TD	PTS
Greg Olsen, Car TE	Greg Olsen	 Car TE		0/0	0	0	0	0	0	0	80	1073	3	127	1	0	0	121
Kenny Britt, Cle WR	Kenny Britt	 Cle WR		0/0	0	0	0	0	0	0	68	1002	5	111	0	1	0	121
Kenny Stills, Mia WR	Kenny Stills	 Mia WR		0/0	0	0	0	0	0	0	42	726	9	81	0	0	0	121
Kyle Rudolph, Min TE	Kyle Rudolph	 Min TE		0/0	0	0	0	0	0	0	83	840	7	132	0	0	0	120
Adam Thielen, Min WR	Adam Thielen	 Min WR		0/0	0	0	0	2	15	0	69	967	5	92	0	1	0	120
Josh Lambo, SD K	Josh Lambo	 SD K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	120
DeSean Jackson, TB WR	DeSean Jackson	 TB WR		0/0	0	0	0	0	0	0	56	1005	4	100	0	0	0	118
Jimmy Graham, Sea TE	Jimmy Graham	 Sea TE		0/0	0	0	0	1	0	0	65	923	6	95	0	2	0	118
Allen Robinson, Jax WR	Allen Robinson	 Jax WR		0/0	0	0	0	0	0	0	73	883	6	151	1	0	0	118
Ravens D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	2	118
Delanie Walker, Ten TE	Delanie Walker	 Ten TE		0/0	0	0	0	2	11	0	65	800	7	102	0	0	0	117
Ryan Succop, Ten K	Ryan Succop	 Ten K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	117
Patriots D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	117
A.J. Green, Cin WR	A.J. Green	 Cin WR		0/0	0	0	0	0	0	0	66	964	4	100	0	0	0	116
